"MTU (CET/CEST)","Generation - Solar  [MW] Day Ahead/ BZN|DE-LU","Generation - Solar  [MW] Intraday / BZN|DE-LU","Generation - Solar  [MW] Current / BZN|DE-LU","Generation - Wind Offshore  [MW] Day Ahead/ BZN|DE-LU","Generation - Wind Offshore  [MW] Intraday / BZN|DE-LU","Generation - Wind Offshore  [MW] Current / BZN|DE-LU","Generation - Wind Onshore  [MW] Day Ahead/ BZN|DE-LU","Generation - Wind Onshore  [MW] Intraday / BZN|DE-LU","Generation - Wind Onshore  [MW] Current / BZN|DE-LU"
"01.01.2019 00:00 - 01.01.2019 00:15","0","0","","5042","3986","","18224","18598",""
"01.01.2019 00:15 - 01.01.2019 00:30","0","0","","5061","3878","","18652","19171",""
"01.01.2019 00:30 - 01.01.2019 00:45","0","0","","5079","3540","","19095","19588",""
"01.01.2019 00:45 - 01.01.2019 01:00","0","0","","5094","3593","","19548","19819",""
"01.01.2019 01:00 - 01.01.2019 01:15","0","0","","5112","3907","","19999","20369",""
"01.01.2019 01:15 - 01.01.2019 01:30","0","0","","5015","3706","","20406","21103",""
"01.01.2019 01:30 - 01.01.2019 01:45","0","0","","5019","3715","","20831","21523",""
"01.01.2019 01:45 - 01.01.2019 02:00","0","0","","5023","3771","","21270","21948",""
"01.01.2019 02:00 - 01.01.2019 02:15","0","0","","5025","3624","","21692","22213",""
"01.01.2019 02:15 - 01.01.2019 02:30","0","0","","5027","3406","","22129","22396",""
"01.01.2019 02:30 - 01.01.2019 02:45","0","0","","5029","3489","","22575","22161",""
"01.01.2019 02:45 - 01.01.2019 03:00","0","0","","5033","3574","","23026","22441",""
"01.01.2019 03:00 - 01.01.2019 03:15","0","0","","5033","3576","","23479","22744",""
"01.01.2019 03:15 - 01.01.2019 03:30","0","0","","5030","3374","","23917","23278",""
"01.01.2019 03:30 - 01.01.2019 03:45","0","0","","4926","3464","","24153","23739",""
"01.01.2019 03:45 - 01.01.2019 04:00","0","0","","4922","3513","","24581","23909",""
"01.01.2019 04:00 - 01.01.2019 04:15","0","0","","4918","3795","","24993","24065",""
"01.01.2019 04:15 - 01.01.2019 04:30","0","0","","4911","3733","","25313","24628",""
"01.01.2019 04:30 - 01.01.2019 04:45","0","0","","4905","3746","","25637","25038",""
"01.01.2019 04:45 - 01.01.2019 05:00","0","0","","4895","3769","","25865","25724",""
"01.01.2019 05:00 - 01.01.2019 05:15","0","0","","4887","4486","","26091","26033",""
"01.01.2019 05:15 - 01.01.2019 05:30","0","0","","4886","4374","","26385","26487",""
"01.01.2019 05:30 - 01.01.2019 05:45","0","0","","4882","4222","","26692","26683",""
"01.01.2019 05:45 - 01.01.2019 06:00","0","0","","4876","4236","","26938","26825",""
"01.01.2019 06:00 - 01.01.2019 06:15","0","0","","4873","3860","","27671","27173",""
"01.01.2019 06:15 - 01.01.2019 06:30","0","0","","4874","3757","","27935","27793",""
"01.01.2019 06:30 - 01.01.2019 06:45","0","0","","4879","3721","","28186","27759",""
"01.01.2019 06:45 - 01.01.2019 07:00","0","0","","4879","3702","","28442","27985",""
"01.01.2019 07:00 - 01.01.2019 07:15","0","0","","4886","3575","","28678","28065",""
"01.01.2019 07:15 - 01.01.2019 07:30","0","0","","4892","3397","","28786","28469",""
"01.01.2019 07:30 - 01.01.2019 07:45","0","0","","4896","3460","","28896","28576",""
"01.01.2019 07:45 - 01.01.2019 08:00","0","0","","4899","3534","","29020","28758",""
"01.01.2019 08:00 - 01.01.2019 08:15","6","6","","4901","3600","","29085","28955",""
"01.01.2019 08:15 - 01.01.2019 08:30","36","39","","4905","3661","","29201","29118",""
"01.01.2019 08:30 - 01.01.2019 08:45","84","102","","4911","3722","","29319","29300",""
"01.01.2019 08:45 - 01.01.2019 09:00","191","223","","4914","3777","","29463","29491",""
"01.01.2019 09:00 - 01.01.2019 09:15","346","374","","4920","3829","","29604","29678",""
"01.01.2019 09:15 - 01.01.2019 09:30","537","572","","4921","3876","","29769","29848",""
"01.01.2019 09:30 - 01.01.2019 09:45","756","797","","4923","3922","","29937","30009",""
"01.01.2019 09:45 - 01.01.2019 10:00","982","1034","","4926","3965","","30106","30131",""
"01.01.2019 10:00 - 01.01.2019 10:15","1191","1250","","4929","3999","","30272","30264",""
"01.01.2019 10:15 - 01.01.2019 10:30","1375","1439","","4926","3675","","30386","30499",""
"01.01.2019 10:30 - 01.01.2019 10:45","1558","1626","","4922","3698","","30503","30621",""
"01.01.2019 10:45 - 01.01.2019 11:00","1719","1791","","4917","3721","","30685","30739",""
"01.01.2019 11:00 - 01.01.2019 11:15","1865","1936","","4910","3735","","30852","30849",""
"01.01.2019 11:15 - 01.01.2019 11:30","1991","2062","","4898","3714","","30999","31053",""
"01.01.2019 11:30 - 01.01.2019 11:45","2091","2162","","4884","3689","","31147","31258",""
"01.01.2019 11:45 - 01.01.2019 12:00","2162","2232","","4856","3663","","31285","31432",""
"01.01.2019 12:00 - 01.01.2019 12:15","2214","2276","","4822","3625","","31437","31610",""
"01.01.2019 12:15 - 01.01.2019 12:30","2234","2294","","4537","3489","","31510","31785",""
"01.01.2019 12:30 - 01.01.2019 12:45","2224","2284","","4498","3464","","31701","31992",""
"01.01.2019 12:45 - 01.01.2019 13:00","2178","2234","","4468","3445","","31889","32199",""
"01.01.2019 13:00 - 01.01.2019 13:15","2109","2159","","4436","3431","","32073","32392",""
"01.01.2019 13:15 - 01.01.2019 13:30","2006","2046","","4423","3457","","32263","32611",""
"01.01.2019 13:30 - 01.01.2019 13:45","1856","1888","","4411","3484","","32446","32827",""
"01.01.2019 13:45 - 01.01.2019 14:00","1692","1705","","4397","3510","","32594","33056",""
"01.01.2019 14:00 - 01.01.2019 14:15","1512","1505","","4388","3873","","32749","32771",""
"01.01.2019 14:15 - 01.01.2019 14:30","1306","1290","","4385","3887","","32936","32903",""
"01.01.2019 14:30 - 01.01.2019 14:45","1075","1053","","4387","3896","","33119","33048",""
"01.01.2019 14:45 - 01.01.2019 15:00","844","824","","4387","4082","","33270","33401",""
"01.01.2019 15:00 - 01.01.2019 15:15","629","611","","4386","4071","","33417","33525",""
"01.01.2019 15:15 - 01.01.2019 15:30","427","421","","4373","4055","","33581","33681",""
"01.01.2019 15:30 - 01.01.2019 15:45","268","267","","4409","4038","","33819","33832",""
"01.01.2019 15:45 - 01.01.2019 16:00","145","143","","4387","4025","","33953","33990",""
"01.01.2019 16:00 - 01.01.2019 16:15","55","63","","4365","4009","","34091","34160",""
"01.01.2019 16:15 - 01.01.2019 16:30","18","19","","4344","3985","","34279","34291",""
"01.01.2019 16:30 - 01.01.2019 16:45","3","5","","4326","3959","","34490","34430",""
"01.01.2019 16:45 - 01.01.2019 17:00","1","1","","4304","3951","","34653","34571",""
"01.01.2019 17:00 - 01.01.2019 17:15","0","0","","4276","3945","","34810","34699",""
"01.01.2019 17:15 - 01.01.2019 17:30","0","0","","4245","3949","","34974","34835",""
"01.01.2019 17:30 - 01.01.2019 17:45","0","0","","4219","3954","","35132","34977",""
"01.01.2019 17:45 - 01.01.2019 18:00","0","0","","4159","3944","","35348","35107",""
"01.01.2019 18:00 - 01.01.2019 18:15","0","0","","4121","3940","","35524","35234",""
"01.01.2019 18:15 - 01.01.2019 18:30","0","0","","4098","3926","","35690","35342",""
"01.01.2019 18:30 - 01.01.2019 18:45","0","0","","4075","3912","","35864","35456",""
"01.01.2019 18:45 - 01.01.2019 19:00","0","0","","4051","3900","","36032","35586",""
"01.01.2019 19:00 - 01.01.2019 19:15","0","0","","4031","3888","","36194","35708",""
"01.01.2019 19:15 - 01.01.2019 19:30","0","0","","4012","3878","","36261","35784",""
"01.01.2019 19:30 - 01.01.2019 19:45","0","0","","4013","3867","","36285","35866",""
"01.01.2019 19:45 - 01.01.2019 20:00","0","0","","3986","3860","","36331","35952",""
"01.01.2019 20:00 - 01.01.2019 20:15","0","0","","3960","3855","","36368","36038",""
"01.01.2019 20:15 - 01.01.2019 20:30","0","0","","3937","3843","","36393","36105",""
"01.01.2019 20:30 - 01.01.2019 20:45","0","0","","3915","3829","","36441","36174",""
"01.01.2019 20:45 - 01.01.2019 21:00","0","0","","3887","3815","","36517","36227",""
"01.01.2019 21:00 - 01.01.2019 21:15","0","0","","3867","3800","","36574","36269",""
"01.01.2019 21:15 - 01.01.2019 21:30","0","0","","3864","3794","","36556","36266",""
